Page Name,Page Category,URL
WAFA- Agence de presse palestinienne,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063488323012/posts/858420086284261
Palestine International Broadcast,MEDIA_NEWS_COMPANY,https://www.facebook.com/100069351265250/posts/641634944824875
AlQastal News,MEDIA_NEWS_COMPANY,https://www.facebook.com/100077089695874/posts/423858043527182
WAFA News Agency - English,NEWS_SITE,https://www.facebook.com/100063135914502/posts/747624147352109
PBI Story,MEDIA_NEWS_COMPANY,https://www.facebook.com/100075796227281/posts/336514508885087
Save Gaza,MEDIA_NEWS_COMPANY,https://www.facebook.com/100067075669756/posts/668200012092515
Women For Palestine,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063723573456/posts/750603013740478
Rassegna internazionale della Palestina,MEDIA_NEWS_COMPANY,https://www.facebook.com/100084470062180/posts/293728050119528
Khalil Naim,NEWS_PERSONALITY,https://www.facebook.com/100076309514960/posts/454184270468553
تلفزيون فلسطين Palestine TV,MEDIA_NEWS_COMPANY,https://www.facebook.com/100065044772015/posts/754145446763608
عملية الفارس الشهم 3 - قطاع غزة,MEDIA_NEWS_COMPANY,https://www.facebook.com/61554700629449/posts/122134333484156687
Palestine Responds,NEWS_SITE,https://www.facebook.com/100027509727274/posts/1166422494284730
Palestine+,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063551799790/posts/773048121490241
Shasha Post,MEDIA_NEWS_COMPANY,https://www.facebook.com/100064857273698/posts/664135252425045
Palestine Defense Forces,MEDIA_NEWS_COMPANY,https://www.facebook.com/100044272702094/posts/992723202213427
Days of Palestine,NEWS_SITE,https://www.facebook.com/100068868124537/posts/740063898299208
وكالة صفا,MEDIA_NEWS_COMPANY,https://www.facebook.com/100092340237001/posts/242722085482464
شبكة فايرل - Viral Network,MEDIA_NEWS_COMPANY,https://www.facebook.com/100079630455583/posts/343318168332529
Ramallah News - رام الله الإخباري,MEDIA_NEWS_COMPANY,https://www.facebook.com/100064553957923/posts/856459916515799
راديو الشباب,MEDIA_NEWS_COMPANY,https://www.facebook.com/100093692208235/posts/144988095300930
غزة 24,MEDIA_NEWS_COMPANY,https://www.facebook.com/100076183839555/posts/491859870030137
DOP,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063211241730/posts/616170257166677
Palm Media,MEDIA_NEWS_COMPANY,https://www.facebook.com/100049204901364/posts/863989058584583
صور فلسطين وتراثها,NEWS_SITE,https://www.facebook.com/100081128761456/posts/438298268884462
Palestine Online,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063910471768/posts/877979371009071
Dr Mustafa Barghoti     د.مصطفى البرغوثي,POLITICIAN,https://www.facebook.com/100046858246794/posts/850350673203533
الحياة الجديدة - alhaya.ps,MEDIA_NEWS_COMPANY,https://www.facebook.com/100063881839701/posts/757296083076446
فلسطين بوست,MEDIA_NEWS_COMPANY,https://www.facebook.com/100093774936144/posts/324459697356526
